range,posture,start,end,
270,NormalBed,10038893,10039905,
270,NormalBed,10038893,10039934,
270,NormalBed,10038893,10039962,
270,NormalBed,10038893,10039992,
270,NormalBed,10038893,10040016,
270,NormalBed,10038893,10040046,
270,NormalBed,10038893,10040074,
270,NormalBed,10038893,10040103,
270,NormalBed,10038893,10040128,
270,NormalBed,10038893,10040155,
270,NormalBed,10038893,10040184,
270,NormalBed,10038893,10040212,
270,NormalBed,10038893,10040242,
270,NormalBed,10038893,10040266,
270,NormalBed,10038893,10040299,
270,NormalBed,10038893,10040335,
270,NormalBed,10038893,10040365,
270,NormalBed,10038893,10040394,
270,NormalBed,10038893,10040435,
270,NormalBed,10038893,10040476,
0,NormalBed,10048154,10048182,
0,NormalBed,10048154,10048211,
0,NormalBed,10048154,10048236,
0,NormalBed,10048154,10048263,
0,NormalBed,10048154,10048293,
0,NormalBed,10048154,10048323,
0,NormalBed,10048154,10048350,
0,NormalBed,10048154,10048374,
0,NormalBed,10048154,10048405,
0,NormalBed,10048154,10048432,
0,NormalBed,10048154,10048461,
0,NormalBed,10048154,10048489,
0,NormalBed,10048154,10048514,
0,NormalBed,10048154,10048543,
0,NormalBed,10048154,10048571,
0,NormalBed,10048154,10048601,
0,NormalBed,10048154,10048627,
0,NormalBed,10048154,10048652,
0,NormalBed,10048154,10048683,
0,NormalBed,10048154,10048712,
0,NormalBed,10048154,10048739,
0,NormalBed,10048154,10048763,
0,NormalBed,10048154,10048793,
0,NormalBed,10048154,10048821,
0,NormalBed,10048154,10048850,
0,NormalBed,10048154,10048878,
0,NormalBed,10048154,10048903,
0,NormalBed,10048154,10048932,
0,NormalBed,10048154,10048959,
0,NormalBed,10048154,10048990,
0,NormalBed,10048154,10049016,
0,NormalBed,10048154,10049041,
0,NormalBed,10048154,10049071,
0,NormalBed,10048154,10049101,
0,NormalBed,10048154,10049128,
0,NormalBed,10048154,10049153,
0,NormalBed,10048154,10049182,
0,NormalBed,10048154,10049215,
0,NormalBed,10048154,10049251,
0,NormalBed,10048154,10049281,
0,NormalBed,10048154,10049307,
0,NormalBed,10048154,10049332,
0,NormalBed,10048154,10049362,
0,NormalBed,10048154,10049394,
0,NormalBed,10048154,10049433,
0,NormalBed,10048154,10049460,
0,NormalBed,10048154,10049489,
0,NormalBed,10048154,10049514,
0,NormalBed,10048154,10049542,
0,NormalBed,10051707,10051734,
0,NormalBed,10051707,10051762,
0,NormalBed,10051707,10051791,
0,NormalBed,10051707,10051819,
0,NormalBed,10051707,10051849,
0,NormalBed,10051707,10051873,
0,NormalBed,10051707,10051900,
0,NormalBed,10051707,10051931,
0,NormalBed,10051707,10051957,
0,NormalBed,10051707,10051987,
0,NormalBed,10051707,10052012,
0,NormalBed,10051707,10052039,
0,NormalBed,10051707,10052069,
0,NormalBed,10051707,10052099,
0,NormalBed,10051707,10052126,
0,NormalBed,10051707,10052151,
0,NormalBed,10051707,10052180,
0,NormalBed,10051707,10052208,
0,NormalBed,10051707,10052238,
0,NormalBed,10051707,10052264,
0,NormalBed,10051707,10052289,
0,NormalBed,10051707,10052319,
0,NormalBed,10051707,10052346,
0,NormalBed,10051707,10052376,
0,NormalBed,10051707,10052404,
0,NormalBed,10051707,10052428,
0,NormalBed,10051707,10052458,
0,NormalBed,10051707,10052488,
0,NormalBed,10051707,10052515,
0,NormalBed,10051707,10052545,
