time,turnedAngle,pitchAngle,yawAngle
1801849,2.741383,2.250293,-1.499069
1801852,2.739026,2.249162,-1.496979
1801856,2.737167,2.247944,-1.49554
1801858,2.737167,2.247944,-1.49554
1801861,2.733876,2.24533,-1.493838
1801863,2.733876,2.24533,-1.493838
1801866,2.732515,2.243935,-1.493445
1801868,2.729719,2.241754,-1.492134
1801871,2.729719,2.241754,-1.492134
1801874,2.728285,2.240793,-1.491216
1801876,2.726132,2.239046,-1.489903
1801879,2.726132,2.239046,-1.489903
1801881,2.725198,2.238259,-1.489509
1801884,2.72448,2.237647,-1.489246
1801887,2.72448,2.237647,-1.489246
1801889,2.724623,2.238084,-1.488852
1801892,2.724552,2.238346,-1.488589
1801894,2.724552,2.238346,-1.488589
1801897,2.724839,2.245505,-1.482134
1801900,2.724839,2.245505,-1.482134
1801903,2.724911,2.248118,-1.479755
1801906,2.735021,2.274431,-1.467004
1801908,2.735021,2.274431,-1.467004
1801911,2.735021,2.274431,-1.467004
1801913,2.739169,2.287644,-1.459381
1801916,2.739169,2.287644,-1.459381
1801918,2.745593,2.307493,-1.447803
1801921,2.749013,2.318071,-1.441436
1801924,2.749013,2.318071,-1.441436
1801926,2.754703,2.335735,-1.429987
1801929,2.757047,2.343097,-1.424915
1801931,2.757047,2.343097,-1.424915
1801934,2.759034,2.349271,-1.420789
1801936,2.760878,2.355179,-1.416374
1801939,2.760878,2.355179,-1.416374
1801943,2.762579,2.363557,-1.408338
1801945,2.762579,2.363557,-1.408338
1801948,2.762792,2.366537,-1.404999
1801950,2.7635,2.371329,-1.399976
1801953,2.7635,2.371329,-1.399976
1801955,2.765837,2.375864,-1.397878
1801958,2.769798,2.382692,-1.394795
1801961,2.769798,2.382692,-1.394795
1801963,2.772694,2.387287,-1.392689
1801966,2.777138,2.394083,-1.389594
1801968,2.777138,2.394083,-1.389594
1801971,2.776574,2.39351,-1.38889
1801973,2.776151,2.393019,-1.388185
1801976,2.776151,2.393019,-1.388185
1801979,2.773188,2.389828,-1.384939
1801981,2.773188,2.389828,-1.384939
1801985,2.771352,2.388271,-1.382818
1801987,2.770504,2.387205,-1.381968
1801990,2.770504,2.387205,-1.381968
1801992,2.769868,2.386467,-1.381119
1801995,2.772058,2.3895,-1.378708
1801998,2.772058,2.3895,-1.378708
1802000,2.774035,2.392365,-1.377146
1802003,2.779181,2.399065,-1.374301
1802005,2.779181,2.399065,-1.374301
1802008,2.782067,2.402652,-1.373161
1802010,2.78474,2.406965,-1.371022
1802013,2.78474,2.406965,-1.371022
1802016,2.788603,2.413218,-1.367735
1802018,2.788603,2.413218,-1.367735
1802021,2.789235,2.414921,-1.366447
1802023,2.790287,2.417513,-1.364584
1802027,2.790287,2.417513,-1.364584
1802029,2.806446,2.441762,-1.356529
1802032,2.831237,2.478598,-1.344211
1802035,2.831237,2.478598,-1.344211
1802037,2.84627,2.501316,-1.335888
1802040,2.870445,2.537365,-1.322934
1802042,2.870445,2.537365,-1.322934
1802045,2.880588,2.552286,-1.317747
1802047,2.896919,2.576255,-1.309255
1802050,2.896919,2.576255,-1.309255
1802053,2.899081,2.580202,-1.307759
1802055,2.899081,2.580202,-1.307759
1802058,2.903938,2.588231,-1.304913
1802060,2.899755,2.583766,-1.305363
1802063,2.899755,2.583766,-1.305363
1802065,2.894959,2.579368,-1.305063
1802068,2.885476,2.567883,-1.307161
1802072,2.885476,2.567883,-1.307161
1802074,2.872558,2.552516,-1.309554
1802077,2.859649,2.537288,-1.311047
1802079,2.859649,2.537288,-1.311047
1802082,2.853002,2.529562,-1.311495
1802085,2.84792,2.523751,-1.311644
1802087,2.84792,2.523751,-1.311644
1802090,2.838281,2.513649,-1.311196
1802092,2.838281,2.513649,-1.311196
1802095,2.835106,2.510532,-1.311047
1802097,2.825562,2.499985,-1.311047
1802100,2.825562,2.499985,-1.311047
1802103,2.822651,2.496695,-1.310749
1802105,2.81932,2.493557,-1.310301
1802108,2.81932,2.493557,-1.310301
1802110,2.812716,2.487427,-1.309105
1802114,2.809653,2.484592,-1.308507
1802116,2.809653,2.484592,-1.308507
1802119,2.804283,2.47994,-1.306711
1802122,2.801908,2.478282,-1.305513
1802124,2.801908,2.478282,-1.305513
1802127,2.797854,2.475279,-1.303263
1802129,2.797854,2.475279,-1.303263
1802132,2.796104,2.473934,-1.302361
1802134,2.794843,2.473222,-1.301459
1802137,2.794843,2.473222,-1.301459
1802140,2.795334,2.477334,-1.296186
1802142,2.795684,2.479071,-1.294071
1802145,2.795684,2.479071,-1.294071
1802147,2.796664,2.483331,-1.289678
1802150,2.797154,2.485143,-1.287856
1802152,2.797154,2.485143,-1.287856
1802156,2.795824,2.486639,-1.283442
1802159,2.795544,2.487348,-1.281764
1802161,2.795544,2.487348,-1.281764
1802164,2.788463,2.48341,-1.276562
1802166,2.788463,2.48341,-1.276562
1802169,2.786145,2.482228,-1.274415
1802171,2.778476,2.476781,-1.271186
1802174,2.778476,2.476781,-1.271186
1802177,2.775798,2.475042,-1.2698
1802179,2.763784,2.465137,-1.265477
1802182,2.763784,2.465137,-1.265477
1802184,2.759602,2.46172,-1.26393
1802187,2.751646,2.456467,-1.258499
1802189,2.751646,2.456467,-1.258499
1802192,2.749013,2.454713,-1.256632
1802195,2.740669,2.449205,-1.251326
1802198,2.740669,2.449205,-1.251326
1802201,2.737811,2.447366,-1.249292
1802203,2.737811,2.447366,-1.249292
1802206,2.733947,2.447126,-1.242853
1802208,2.732586,2.447126,-1.240489
1802211,2.732586,2.447126,-1.240489
1802214,2.731798,2.449045,-1.235589
1802216,2.731583,2.449924,-1.233687
1802219,2.731583,2.449924,-1.233687
1802221,2.736595,2.456626,-1.230829
1802224,2.740026,2.461084,-1.229079
1802226,2.740026,2.461084,-1.229079
1802229,2.741669,2.463548,-1.227964
1802232,2.743096,2.465613,-1.227167
1802234,2.743096,2.465613,-1.227167
1802237,2.745094,2.467438,-1.214182
