Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Up,1,6.57141,11.31031,0.3351346,-1.445639,-0.6940797,-0.3522151,0.04423466
Up,1,6.599343,11.7637,0.3214254,-1.472596,-0.6929511,-0.354982,0.04423466
Up,1,6.639641,12.18282,0.2853053,-1.532379,-0.6943616,-0.360452,0.05233916
Up,1,6.670429,12.52653,0.2486604,-1.494755,-0.7058211,-0.3658403,0.05934703
Up,1,6.713698,12.96479,0.2220564,-1.499722,-0.7265852,-0.3769049,0.0656106
Up,1,6.748968,12.90636,0.0656106,-1.482001,-0.7597608,-0.3856296,0.06852804
Up,1,6.777479,13.41455,0,-1.585726,-0.7974581,-0.393167,0.07912937
Up,1,6.804898,13.92354,-0.01978234,-1.661775,-0.8289794,-0.3990945,0.08846933
Up,1,6.833588,14.2996,-0.04845664,-1.732687,-0.8629809,-0.4068635,0.09487279
Up,1,6.861068,14.68158,-0.0656106,-1.795696,-0.8970026,-0.4149588,0.1027921
Up,1,6.889325,15.12407,-0.06255726,-1.856251,-0.9389946,-0.4224361,0.1083524
Up,1,6.917324,15.45207,-0.07401875,-1.898058,-0.9793876,-0.4325065,0.1119058
Up,1,6.945656,15.79023,-0.08392937,-1.932797,-1.023547,-0.4441136,0.1153499
Up,1,6.973934,16.03995,-0.1083524,-1.958947,-1.07829,-0.4584226,0.1203313
Up,1,7.003065,16.45792,-0.1119058,-2.067533,-1.152839,-0.4780633,0.1235407
Up,1,7.040476,16.97816,-0.05934703,-2.152133,-1.241908,-0.5020211,0.1266688
Up,1,7.069385,17.40793,-0.05934703,-2.218056,-1.325889,-0.5226451,0.1312212
Up,1,7.097657,17.69138,-0.06852804,-2.271675,-1.398718,-0.5424856,0.1398823
Up,1,7.125999,18.03558,-0.07401875,-2.289526,-1.466604,-0.5616257,0.1467098
Up,1,7.155201,18.50106,-0.04423466,-2.358002,-1.533528,-0.5821548,0.1532334
Up,1,7.194068,18.83699,-0.01978234,-2.387779,-1.603155,-0.6003569,0.1594904
Up,1,7.223487,19.10525,0,-2.422205,-1.665422,-0.6170725,0.1631294
Up,1,7.251579,19.49688,0,-2.525767,-1.724763,-0.6333472,0.166689
Up,1,7.27989,19.97121,0.03426402,-2.616063,-1.779163,-0.6483091,0.1690205
Up,1,7.318767,20.3299,0.05934703,-2.690791,-1.835684,-0.6632286,0.1701742
Up,1,7.347865,20.6585,0.09691329,-2.755982,-1.886889,-0.675796,0.1701742
Up,1,7.37658,21.06388,0.1153499,-2.795474,-1.937651,-0.6895542,0.1701742
Up,1,7.404945,21.37966,0.1398823,-2.828332,-1.983963,-0.6996954,0.1690205
