time,TurnedAngle,HeadPitch,HeadYaw,HeadRoll
67.4161,40.48637, 11.26921, -39.14848, -14.29013
67.41874,40.48821, 11.27005, -39.15021, -14.29141
67.42183,40.49147, 11.27152, -39.15327, -14.2937
67.42452,40.49407, 11.27267, -39.15572, -14.29551
67.4268,40.49617, 11.27362, -39.15768, -14.29698
67.42908,40.49783, 11.27437, -39.15924, -14.29815
67.43156,40.50043, 11.27629, -39.1615, -14.30086
67.43485,40.50251, 11.27781, -39.1633, -14.30303
67.43763,40.50417, 11.27903, -39.16474, -14.30476
67.44019,40.50552, 11.27919, -39.16613, -14.30511
67.44244,40.5066, 11.27931, -39.16723, -14.30537
67.44466,40.50746, 11.2794, -39.16811, -14.3056
67.44772,40.50877, 11.27964, -39.16942, -14.30595
67.45061,40.5098, 11.2798, -39.17046, -14.30624
67.45396,40.51064, 11.27996, -39.1713, -14.30646
67.45657,40.5104, 11.27962, -39.17114, -14.30586
67.45952,40.51022, 11.27938, -39.17101, -14.30542
67.46258,40.51009, 11.27919, -39.17091, -14.30508
67.46554,40.50951, 11.28011, -39.17008, -14.30585
67.4685,40.50907, 11.28086, -39.16943, -14.30649
67.47111,40.50869, 11.28148, -39.16889, -14.30696
67.47403,40.50752, 11.28233, -39.16745, -14.30758
67.47652,40.50657, 11.28303, -39.16629, -14.30809
67.47905,40.50582, 11.28357, -39.16536, -14.30849
67.48151,40.50426, 11.28516, -39.16334, -14.30991
67.48412,40.50301, 11.28641, -39.16173, -14.31103
67.48722,40.50202, 11.28743, -39.16043, -14.31196
67.48986,40.50129, 11.2888, -39.15933, -14.31333
67.49235,40.50069, 11.28992, -39.15844, -14.31442
67.49462,40.50023, 11.29079, -39.15773, -14.31532
67.49723,40.49868, 11.29269, -39.15565, -14.31708
67.50051,40.49744, 11.29419, -39.15397, -14.31852
67.50301,40.49643, 11.2954, -39.15263, -14.31968
67.50529,40.49508, 11.29887, -39.15034, -14.32337
67.50769,40.49398, 11.30164, -39.14851, -14.32629
67.51007,40.4931, 11.30385, -39.14704, -14.32864
67.51267,40.49238, 11.30563, -39.14585, -14.33051
67.51569,40.49006, 11.30676, -39.14314, -14.33132
67.51842,40.48819, 11.30766, -39.14096, -14.33193
67.52129,40.48508, 11.30828, -39.13755, -14.33195
67.52377,40.4826, 11.30875, -39.13483, -14.33196
67.52655,40.4806, 11.30913, -39.13264, -14.33196
67.52943,40.479, 11.30942, -39.13089, -14.33198
67.53202,40.47604, 11.30817, -39.12809, -14.32976
67.53445,40.47366, 11.30714, -39.12584, -14.328
